domain,tier,multiplier,bids,views,clicks,shrunk_rate
my-short-stories.com,insufficient_data,1.0,1,0,0,0.076994
motherdaughterprojects.com,insufficient_data,1.0,6,1,1,0.094078
motherrisingbirth.com,insufficient_data,1.0,3,0,0,0.072328
mycbs4.com,insufficient_data,1.0,9,0,0,0.061201
mycarvoice.com,insufficient_data,1.0,4,0,0,0.070201
motivatedversion.com,insufficient_data,1.0,4,0,0,0.070201
mybigfatgrainfreelife.com,insufficient_data,1.0,3,0,0,0.072328
my.is,insufficient_data,1.0,2,1,1,0.105838
myboredtoddler.com,insufficient_data,1.0,24,0,0,0.0442
myartlesson.com,insufficient_data,1.0,1,0,0,0.076994
motocross.com,insufficient_data,1.0,1,0,0,0.076994
myactivekitchen.com,insufficient_data,1.0,13,0,0,0.055508
mybizzykitchen.com,insufficient_data,1.0,18,2,2,0.091392
mycarmakesnoise.com,insufficient_data,1.0,1,0,0,0.076994
motofomo.com,insufficient_data,1.0,3,0,0,0.072328
motivationformom.com,insufficient_data,1.0,6,0,0,0.066301
mybodyweightexercises.com,insufficient_data,1.0,1,0,0,0.076994
motleedsnews.com,insufficient_data,1.0,4,0,0,0.070201
mybrownnewfies.com,insufficient_data,1.0,4,0,0,0.070201
my100yearoldhome.com,insufficient_data,1.0,1,0,0,0.076994
myanosmickitchen.com,insufficient_data,1.0,2,0,0,0.074588
myaccountingcourse.com,insufficient_data,1.0,1,0,0,0.076994
myaggienation.com,insufficient_data,1.0,6,0,0,0.066301
mtbr.com,insufficient_data,1.0,19,1,1,0.069119
mr2oc.com,insufficient_data,1.0,9,2,2,0.112483
motorcycle.com,insufficient_data,1.0,3,1,1,0.102631
mummytodex.com,insufficient_data,1.0,1,0,0,0.076994
mrcuisto.com,insufficient_data,1.0,4,0,0,0.070201
mrguider.org,insufficient_data,1.0,10,0,0,0.059671
mundonow.com,insufficient_data,1.0,4,0,0,0.070201
munchmunchyum.com,insufficient_data,1.0,1,0,0,0.076994
munchkinsplanet.com,insufficient_data,1.0,1,1,1,0.109252
mrishtanna.com,insufficient_data,1.0,13,0,0,0.055508
mrsandthemisc.com,insufficient_data,1.0,5,2,2,0.125338
